0, 0-emit, 1537955850865,  
1, 0-emit, 1537955854474,  
3, 0-emit, 1537955854506, 1
3, 0-emit, 1537955854506, 2
3, 0-emit, 1537955854521, 3
3, 0-emit, 1537955854974, 4
3, 0-emit, 1537955855099, 5
3, 0-emit, 1537955857740, 6
3, 0-emit, 1537955857959, 7
3, 0-emit, 1537955861287, 8
4, 0-emit, 1537955861287,  
0, 0, 1-value, 1537955850912,  
1, 0, 1-value, 1537955850912,  
2, 0, 1-value, 1537955854506, 1
3, 0, 1-value, 1537955854974, 1
2, 0, 1-value, 1537955854974, 3
3, 0, 1-value, 1537955857724, 3
2, 0, 1-value, 1537955857724, 5
3, 0, 1-value, 1537955861287, 5
2, 0, 1-value, 1537955861287, 7
3, 0, 1-value, 1537955867349, 7
4, 0, 1-value, 1537955867349,  
0, 1, 1-value, 1537955850912,  
1, 1, 1-value, 1537955850912,  
2, 1, 1-value, 1537955854506, 2
3, 1, 1-value, 1537955855099, 2
2, 1, 1-value, 1537955855099, 4
3, 1, 1-value, 1537955857959, 4
2, 1, 1-value, 1537955857959, 6
3, 1, 1-value, 1537955862537, 6
2, 1, 1-value, 1537955862537, 8
3, 1, 1-value, 1537955868177, 8
4, 1, 1-value, 1537955868177,  
0, 0, 2-indeces, 1537955850912,  
1, 0, 2-indeces, 1537955850912,  
2, 0, 2-indeces, 1537955854974, 1
3, 0, 2-indeces, 1537955857693, 1
2, 0, 2-indeces, 1537955857709, 3
3, 0, 2-indeces, 1537955861287, 3
2, 0, 2-indeces, 1537955861287, 5
3, 0, 2-indeces, 1537955867349, 5
2, 0, 2-indeces, 1537955867349, 7
3, 0, 2-indeces, 1537955875334, 7
4, 0, 2-indeces, 1537955875334,  
0, 1, 2-indeces, 1537955850896,  
1, 1, 2-indeces, 1537955850896,  
2, 1, 2-indeces, 1537955855021, 2
3, 1, 2-indeces, 1537955857771, 2
2, 1, 2-indeces, 1537955857927, 4
3, 1, 2-indeces, 1537955862521, 4
2, 1, 2-indeces, 1537955862521, 6
3, 1, 2-indeces, 1537955868177, 6
2, 1, 2-indeces, 1537955868177, 8
3, 1, 2-indeces, 1537955880006, 8
4, 1, 2-indeces, 1537955880006,  
0, 0, 3-words, 1537955850912,  
1, 0, 3-words, 1537955850912,  
2, 0, 3-words, 1537955857693, 1
3, 0, 3-words, 1537955861287, 1
2, 0, 3-words, 1537955861318, 3
3, 0, 3-words, 1537955867349, 3
2, 0, 3-words, 1537955867349, 5
3, 0, 3-words, 1537955875334, 5
2, 0, 3-words, 1537955875334, 7
3, 0, 3-words, 1537955882302, 7
4, 0, 3-words, 1537955882302,  
0, 1, 3-words, 1537955850912,  
1, 1, 3-words, 1537955850912,  
2, 1, 3-words, 1537955857771, 2
3, 1, 3-words, 1537955862506, 2
2, 1, 3-words, 1537955862506, 4
3, 1, 3-words, 1537955868177, 4
2, 1, 3-words, 1537955868177, 6
3, 1, 3-words, 1537955880006, 6
2, 1, 3-words, 1537955880006, 8
3, 1, 3-words, 1537955883287, 8
4, 1, 3-words, 1537955883287,  
