0, 0-emit, 1537956002461,  
1, 0-emit, 1537956002524,  
3, 0-emit, 1537956002774, 64003
3, 0-emit, 1537956002899, 64003
3, 0-emit, 1537956003071, 64009
3, 0-emit, 1537956003133, 64007
3, 0-emit, 1537956003258, 64003
3, 0-emit, 1537956003336, 64011
3, 0-emit, 1537956003368, 64002
3, 0-emit, 1537956003446, 64004
3, 0-emit, 1537956003664, 64010
3, 0-emit, 1537956003727, 64003
3, 0-emit, 1537956003758, 64010
3, 0-emit, 1537956003821, 64005
4, 0-emit, 1537956003899,  
0, 0, 1-value, 1537956002477,  
1, 0, 1-value, 1537956002477,  
2, 0, 1-value, 1537956004024, 1
3, 0, 1-value, 1537956005868, 1
2, 0, 1-value, 1537956005868, 3
3, 0, 1-value, 1537956006586, 3
2, 0, 1-value, 1537956006586, 5
3, 0, 1-value, 1537956010383, 5
2, 0, 1-value, 1537956010383, 7
3, 0, 1-value, 1537956015446, 7
4, 0, 1-value, 1537956015446,  
0, 1, 1-value, 1537956002508,  
1, 1, 1-value, 1537956002508,  
2, 1, 1-value, 1537956004024, 2
3, 1, 1-value, 1537956005930, 2
2, 1, 1-value, 1537956005930, 4
3, 1, 1-value, 1537956006664, 4
2, 1, 1-value, 1537956006664, 6
3, 1, 1-value, 1537956013711, 6
2, 1, 1-value, 1537956013711, 8
3, 1, 1-value, 1537956019743, 8
4, 1, 1-value, 1537956019743,  
0, 0, 2-indeces, 1537956002508,  
1, 0, 2-indeces, 1537956002508,  
2, 0, 2-indeces, 1537956005868, 1
3, 0, 2-indeces, 1537956006586, 1
2, 0, 2-indeces, 1537956006586, 3
3, 0, 2-indeces, 1537956010383, 3
2, 0, 2-indeces, 1537956010383, 5
3, 0, 2-indeces, 1537956015446, 5
2, 0, 2-indeces, 1537956015446, 7
3, 0, 2-indeces, 1537956021477, 7
4, 0, 2-indeces, 1537956021477,  
0, 1, 2-indeces, 1537956002477,  
1, 1, 2-indeces, 1537956002477,  
2, 1, 2-indeces, 1537956005914, 2
3, 1, 2-indeces, 1537956006649, 2
2, 1, 2-indeces, 1537956006664, 4
3, 1, 2-indeces, 1537956013680, 4
2, 1, 2-indeces, 1537956013680, 6
3, 1, 2-indeces, 1537956019743, 6
2, 1, 2-indeces, 1537956019743, 8
3, 1, 2-indeces, 1537956026680, 8
4, 1, 2-indeces, 1537956026680,  
0, 0, 3-words, 1537956002508,  
1, 0, 3-words, 1537956002508,  
2, 0, 3-words, 1537956006586, 1
3, 0, 3-words, 1537956010383, 1
2, 0, 3-words, 1537956010383, 3
3, 0, 3-words, 1537956015446, 3
2, 0, 3-words, 1537956015446, 5
3, 0, 3-words, 1537956021477, 5
2, 0, 3-words, 1537956021477, 7
3, 0, 3-words, 1537956028352, 7
4, 0, 3-words, 1537956028352,  
0, 1, 3-words, 1537956002477,  
1, 1, 3-words, 1537956002477,  
2, 1, 3-words, 1537956006649, 2
3, 1, 3-words, 1537956013680, 2
2, 1, 3-words, 1537956013680, 4
3, 1, 3-words, 1537956019743, 4
2, 1, 3-words, 1537956019743, 6
3, 1, 3-words, 1537956026680, 6
2, 1, 3-words, 1537956026680, 8
3, 1, 3-words, 1537956029180, 8
4, 1, 3-words, 1537956029180,  
